content_id,genre_id,is_primary_genre
161,10,TRUE
162,17,TRUE
162,35,FALSE
162,23,FALSE
163,13,TRUE
164,17,TRUE
164,20,FALSE
165,26,TRUE
165,17,FALSE
166,5,TRUE
166,2,FALSE
166,18,FALSE
167,28,TRUE
167,13,FALSE
168,12,TRUE
168,17,FALSE
169,26,TRUE
169,12,FALSE
169,17,FALSE
170,26,TRUE
170,13,FALSE
171,1,TRUE
171,21,FALSE
172,13,TRUE
172,37,FALSE
173,17,TRUE
173,21,FALSE
174,1,TRUE
174,38,FALSE
175,26,TRUE
175,13,FALSE
176,13,TRUE
176,20,FALSE
177,26,TRUE
177,17,FALSE
178,26,TRUE
178,28,FALSE
179,26,TRUE
179,17,FALSE
180,17,TRUE
180,20,FALSE
181,17,TRUE
181,20,FALSE
182,7,TRUE
183,17,TRUE
184,26,TRUE
184,28,FALSE
185,8,TRUE
186,1,TRUE
186,30,FALSE
187,2,TRUE
187,9,FALSE
187,10,FALSE
188,2,TRUE
188,10,FALSE
189,17,TRUE
189,15,FALSE
190,25,TRUE
190,10,FALSE
191,13,TRUE
191,15,FALSE
192,13,TRUE
192,14,FALSE
193,26,TRUE
193,17,FALSE
193,15,FALSE
194,2,TRUE
194,3,FALSE
195,2,TRUE
195,18,FALSE
195,3,FALSE
196,17,TRUE
196,13,FALSE
196,15,FALSE
197,17,TRUE
197,20,FALSE
198,25,TRUE
198,10,FALSE
199,5,TRUE
199,2,FALSE
199,3,FALSE
200,17,TRUE
200,13,FALSE
200,15,FALSE
201,26,TRUE
201,22,FALSE
201,15,FALSE
202,13,TRUE
202,15,FALSE
202,19,FALSE
203,17,TRUE
203,15,FALSE
203,21,FALSE
204,17,TRUE
204,15,FALSE
205,17,TRUE
205,15,FALSE
206,17,TRUE
206,15,FALSE
206,23,FALSE
207,13,TRUE
207,14,FALSE
207,15,FALSE
208,26,TRUE
208,15,FALSE
208,21,FALSE
209,13,TRUE
209,15,FALSE
209,21,FALSE
210,13,TRUE
210,15,FALSE
210,21,FALSE
211,22,TRUE
211,15,FALSE
212,22,TRUE
212,15,FALSE
213,2,TRUE
213,3,FALSE
214,7,TRUE
214,2,FALSE
215,26,TRUE
215,15,FALSE
216,26,TRUE
216,13,FALSE
216,15,FALSE
217,17,TRUE
217,13,FALSE
217,14,FALSE
218,17,TRUE
218,13,FALSE
218,15,FALSE
219,8,TRUE
219,34,FALSE
220,31,TRUE
220,2,FALSE
221,25,TRUE
221,10,FALSE
222,1,TRUE
223,5,TRUE
223,3,FALSE
223,4,FALSE
224,5,TRUE
224,7,FALSE
224,2,FALSE
225,2,TRUE
225,8,FALSE
226,2,TRUE
226,3,FALSE
226,4,FALSE
227,2,TRUE
227,10,FALSE
